id,category,name,address,symbol,tvl,mcap,slug
2269,CEX,Binance CEX,,-,66980513678.25869,,binance-cex
182,Liquid Staking,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,12192645047.22479,1581976557.2755787,lido
2272,CEX,OKX,,-,10073705943.83506,,okx
2275,CEX,Bitfinex,,-,9457368030.110758,,bitfinex
118,CDP,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,7356575392.007298,628058662.9331813,makerdao
240,Chain,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,7118975526.042103,8877195125.48178,polygon-bridge-&-staking
2,Bridge,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,4480219864.690368,4467211830.562843,wbtc
3,Dexes,Curve DEX,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,4389947665.812931,,curve-dex
494,Lending,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3945366685.393283,216642375.98947892,justlend
111,Lending,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,3931881614.941295,995338593.7378902,aave-v2
2270,CEX,Crypto-com,,-,3646396928.194969,,crypto-com
694,Bridge,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3439642855.0,,justcryptos
319,Yield,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,3417631106.244573,397556065.2961962,convex-finance
2276,CEX,Huobi,,-,3016014726.3115416,,huobi
2286,CEX,Bybit,,-,2985062378.9376574,,bybit
2198,Dexes,Uniswap V3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,2922828554.2660174,,uniswap-v3
2274,CEX,Kucoin,,-,2763925089.7154713,,kucoin
2222,Liquid Staking,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,CBETH,2269514430.763946,0.0,coinbase-wrapped-staked-eth
120,Services,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,2116880950.4257202,26051740.406029385,instadapp
2273,CEX,Deribit,,-,1884253645.0475695,,deribit
2314,CEX,Gate-io,,-,1877460639.2621722,,gate-io
194,Dexes,PancakeSwap AMM,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,1810330249.554216,,pancakeswap-amm
591,Bridge,Multichain,0x9Fb9a33956351cf4fa040f65A13b835A3C8764E3,MULTI,1763087556.5013733,173915242.0346769,multichain
900,Liquid Staking,Rocket Pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,RPL,1553767689.4874098,943954573.8983104,rocket-pool
2352,CEX,Bitget,,-,1464955846.898435,,bitget
1599,Lending,AAVE V3,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,1453282410.3249831,,aave-v3
114,Lending,Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,1338707350.264389,,compound
2197,Dexes,Uniswap V2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,1226409445.8194437,,uniswap-v2
691,CDP,JustStables,tron:TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT,USDJ,1223350850.4745898,0.0,juststables
2611,Dexes,Balancer V2,0xba100000625a3754423978a60c9317c58a424e3d,BAL,1103902361.401182,,balancer-v2
2293,CEX,Bitmex,,-,874313667.9913902,,bitmex
212,Lending,Venus,bsc:0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,856599443.0016501,83282616.82304345,venus
270,CDP,Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,758260916.0848497,140100090.60020623,liquity
337,Derivatives,GMX,arbitrum:0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,GMX,697636763.1128522,593061165.067644,gmx
1918,Yield,Aura,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,AURA,647620989.4765195,56541149.788058296,aura
2295,CEX,SwissBorg,,-,599510844.3251483,,swissborg
2088,Lending,Compound V3,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,587179914.2772934,,compound-v3
2373,CEX,Binance US,,-,503188709.22687685,,binance-us
113,Yield Aggregator,Yearn Finance,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,YFI,462931504.3777283,261858083.7154827,yearn-finance
1571,Cross Chain,Stargate,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,STG,451222021.5875936,134764561.59420487,stargate
119,Dexes,SushiSwap,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,444856262.3206023,193187321.3023342,sushiswap
115,Synthetics,Synthetix,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX,415492546.5957396,749099179.9081782,synthetix
690,Dexes,SUNSwap,tron:TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,412612593.49269754,,sunswap
2301,CEX,Korbit,,-,358732919.03469527,,korbit
144,Derivatives,dYdX,0x92d6c1e31e14520e676a687f0a93788b716beff5,DYDX,342839122.44827056,378531169.14372104,dydx
2221,Liquid Staking,Frax Ether,0x5E8422345238F34275888049021821E8E08CAa1f,frxETH,342771945.3600568,,frax-ether
326,Yield Aggregator,Beefy,bsc:0xca3f508b8e4dd382ee878a314789373d80a5190a,BIFI,334723131.98323995,35004865.24776224,beefy
2168,Lending,Morpho Aave,0x9994e35db50125e0df82e4c2dde62496ce330999,MORPHO,325652332.0510324,,morpho-aave
1796,Bridge,Poly Network,,-,320680168.54,,poly-network
1541,Bridge,Portal,,-,313417278.7,,portal
2769,Dexes,PancakeSwap AMM V3,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,311431625.5002135,,pancakeswap-amm-v3
2435,CEX,Nexo,,-,295279888.0206017,384650617.9151404,nexo
148,Privacy,Tornado Cash,0x77777feddddffc19ff86db637967013e6c6a116c,TORN,288094514.39228886,10019628.801070413,tornado-cash
1793,Indexes,Bwatch,0x045414e728067ab3da4bceafc0d992d59183463a,BOX,286528292.54,0.0,bwatch
1799,Dexes,Velodrome,optimism:0x3c8B650257cFb5f272f799F5e2b4e65093a11a05,VELO,278831746.55507886,26299976.45210212,velodrome
122,Insurance,Nexus Mutual,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,NXM,274899694.5399177,355971454.62064433,nexus-mutual
2706,Lending,Radiant V2,arbitrum:0x3082CC23568eA640225c2467653dB90e9250AaA0,RDNT,272763767.2598926,,radiant-v2
347,CDP,Abracadabra,0x090185f2135308bad17527004364ebcc2d37e5f6,SPELL,267331172.32878524,75521022.29172477,abracadabra
2907,Dexes,Chronos,arbitrum:0x15b2fb8f08E4Ac1Ce019EADAe02eE92AeDF06851,CHR,262764667.11295807,0.0,chronos
132,Bridge,hBTC,0x0316EB71485b0Ab14103307bf65a021042c6d380,hBTC,259828389.23336628,256679548.85338303,hbtc
1765,Launchpad,UniCrypt,0xadb2437e6f65682b85f814fbc12fec0508a7b1d0,UNCX,248991074.63146114,11594665.621681672,unicrypt
502,Yield,Coinwind,heco:0x80861a817106665bca173db6ac2ab628a738c737,COW,216363651.50266072,0.0,coinwind
657,Bridge,Synapse,0x0f2d719407fdbeff09d87557abb7232601fd9f29,SYN,214037735.37681043,139204602.51287442,synapse
295,Chain,Stacks Staking,-,STX,208361161.81713977,954812687.9337429,stacks-staking
345,Leveraged Farming,Alpaca Leveraged Yield Farming,bsc:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,202328859.69112837,35283784.88182016,alpaca-leveraged-yield-farming
1807,Launchpad,PinkSale,bsc:0x602ba546a7b06e0fc7f58fd27eb6996ecc824689,PINKSALE,201661077.14531255,18999338.39412745,pinksale
373,Dexes,BiSwap,bsc:0x965f527d9159dce6288a2219db51fc6eef120dd1,BSW,196901772.55533558,57377003.15773565,biswap
641,Liquidity manager,Arrakis V1,,-,195766684.6342114,,arrakis-v1
831,Dexes,VVS Finance,cronos:0x2D03bECE6747ADC00E1a131BBA1469C15fD11e03,VVS,180221789.9496449,118376887.0361731,vvs-finance
278,Liquid Staking,Ankr,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,ANKR,175877087.3728491,235108523.5460121,ankr
277,Liquid Staking,StakeWise,0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,SWISE,175528336.5031327,34150268.77403508,stakewise
1166,Dexes,DefiChain DEX,-,DFI,174159661.2041481,320618460.2494723,defichain-dex
704,Dexes,Chainge Finance,fusion:0xed0294dbd2a0e52a09c3f38a09f6e03de2c44fcf,CHNG,171856764.10961276,49266564.01196543,chainge-finance
1217,Liquid Staking,Parallel Liquid Crowdloan,,-,165044010.36149645,,parallel-liquid-crowdloan
383,Dexes,Osmosis DEX,-,OSMO,161021646.067298,410095234.19458157,osmosis-dex
129,Chain,xDAI Stake Bridge,0x0Ae055097C6d159879521C384F1D2123D1f195e6,STAKE,158775667.36811158,1066281.0501972167,xdai-stake-bridge
1054,Bridge,ChainPort,0x104f3152d8ebfc3f679392977356962ff36566ac,PORTX,158707160.612,2531761.765664618,chainport
1773,NFT Lending,BendDAO Lending,0x0d02755a5700414B26FF040e1dE35D337DF56218,BEND,158169273.13978672,,benddao-lending
2517,NFT Lending,ParaSpace Lending,,-,156611989.57626235,,paraspace-lending
231,Payments,Lightning Network,-,-,156376762.14208314,,lightning-network
1981,Bridge,Orbit Bridge,eth:0x662b67d00A13FAf93254714DD601F5Ed49Ef2F51,ORC,147273590.3682066,0.0,orbit-bridge
467,Lending,Benqi Lending,avax:0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,QI,138804508.43424115,37211599.49230964,benqi-lending
1879,Liquid Staking,Acala LCDOT,acala:-,ACA,137462110.57655916,,acala-lcdot
801,Bridge,cBridge,,CELR,137263117.18507886,122398795.21703753,cbridge
359,Algo-Stables,Frax,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,136901790.41735753,,frax
2914,Liquid Staking,Binance staked ETH,,-,134868338.0480066,,binance-staked-eth
116,Dexes,Balancer V1,0xba100000625a3754423978a60c9317c58a424e3d,BAL,131610838.89399984,,balancer-v1
177,Services,DefiSaver,-,-,126378665.06639299,,defisaver
1115,Lending,Tectonic,cronos:0xeAdf7c01DA7E93FdB5f16B0aa9ee85f978e89E95,TONIC,125597952.5290206,35016723.2223944,tectonic
279,Liquid Staking,StakeHound,0x160b1e5aabfd70b2fc40af815014925d71ceed7e,-,124532047.69935383,0.0,stakehound
2076,Lending,Fraxlend,,-,122672434.31953442,,fraxlend
2414,NFT Marketplace,Blur Bids,0x5283d291dbcf85356a21ba090e6db59121208b44,BLUR,121132029.84187652,243902743.01064095,blur-bids
1044,Liquid Staking,Stader,0x30d20208d987713f46dfd34ef128bb16c404d10f,SD,116877133.54958452,26188202.49796226,stader
2542,RWA,Ondo Finance,-,-,116384105.7984658,,ondo-finance
2313,CEX,Firi,,-,115159799.39248085,,firi
2346,CEX,WOO X,,-,112302221.34451084,,woo-x
508,Dexes,KlaySwap,-,KSP,111968263.43567027,0.0,klayswap
412,Dexes,Thorchain,thorchain:0x0000000000000000000000000000000000000000,RUNE,110844696.53814283,390968975.45413744,thorchain
126,Dexes,Loopring,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC,110283300.34692238,390418187.0002591,loopring
1864,Launchpad,Team Finance,0xCC4304A31d09258b0029eA7FE63d032f52e44EFe,SWAP,110033562.94619986,26273443.065145925,team-finance
504,Algo-Stables,Mento,-,-,109982325.0930691,280531854.7832925,mento
484,Liquid Staking,Marinade Finance,solana:MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,106880092.49101344,6979254.4443043675,marinade-finance
1167,Synthetics,DefiChain Loans,-,DFI,106494842.628687,,defichain-loans
2292,CEX,Cake DeFi,,-,106489151.80743212,,cake-defi
355,Liquidity manager,Gamma,0x6bea7cfef803d1e3d5f7c0103f7ded065644e197,GAMMA,106104446.41488236,16191878.528382678,gamma
2305,CEX,MaskEX,,-,105499215.59110433,,maskex
1427,Liquid Staking,Benqi Staked Avax,avax:0x2b2C81e08f1Af8835a78Bb2A90AE924ACE0eA4bE,SAVAX,102356620.43446325,102060630.72964105,benqi-staked-avax
435,Cross Chain,Hop Protocol,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,HOP,101901632.5771904,8331899.241600214,hop-protocol
2678,Lending,Alpaca Lending,bsc:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,100642401.79274297,,alpaca-lending
2369,CEX,Phemex,,-,95945956.53943646,,phemex
431,Dexes,SUN.io,tron:TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,94189721.10054076,54623432.679223545,sun.io
2307,Dexes,Camelot V2,arbitrum:0x3d9907F9a368ad0a51Be60f7Da3b97cf940982D8,GRAIL,93711011.04250044,,camelot-v2
140,Lending,Kava Lend,-,HARD,92711231.0907114,21077571.66095834,kava-lend
2616,Yield,Conic Finance,0x9ae380f0272e2162340a5bb646c354271c0f5cfc,CNC,91879856.75633474,,conic-finance
1700,Dexes,Wombat Exchange,bsc:0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,WOM,91346824.5305252,7519354.608111412,wombat-exchange
1087,Lending,Algofi Lend,,-,87023162.53894699,,algofi-lend
306,Dexes,Quickswap Dex,polygon:0x831753dd7087cac61ab5644b308642cc1c33dc13,QUICK,86455985.36831856,33480307.418910477,quickswap-dex
2298,CEX,Coinsquare,,-,86427090.36705774,,coinsquare
797,Dexes,Katana DEX,,-,84584903.83774202,,katana-dex
2415,Liquid Staking,OKC Liquid Staking,okexchain:0x97b05e6c5026d5480c4b6576a8699866eb58003b,stOKT,84273625.31865886,,okc-liquid-staking
266,Indexes,Set Protocol,-,-,81789441.65812738,,set-protocol
654,Dexes,Beethoven X,fantom:0xf24bcf4d1e507740041c9cfd2dddb29585adce1e,BEETS,80364229.48167777,5401063.384973701,beethoven-x
2190,Yield,Sushi BentoBox,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,80321663.03820889,,sushi-bentobox
225,Indexes,Enzyme Finance,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,MLN,79035438.97363234,29543268.02634674,enzyme-finance
1108,Leveraged Farming,Gearbox,0xba3335588d9403515223f109edc4eb7269a9ab5d,GEAR,78040795.06598143,8190662.749517511,gearbox
753,RWA,RealT Tokens,,-,76242104.785088,,realt-tokens
143,Payments,Flexa,0xff20817765cb7f73d4bde2e66e067e58d11095c2,AMP,73661533.19897681,188636580.61861688,flexa
1995,Dexes,Bancor V3,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,BNT,71093476.19741158,,bancor-v3
302,Dexes,SpookySwap,fantom:0x841fad6eae12c286d1fd18d1d525dffa75c7effe,BOO,70534568.39073445,13114026.43668027,spookyswap
135,CDP,Kava Mint,,-,70240739.706357,,kava-mint
2807,RWA,MatrixDock,0x530824DA86689C9C17CdC2871Ff29B058345b44a,STBT,69025577.37793353,0.0,matrixdock
1985,Dexes,Canto Dex,,-,67814949.15013522,,canto-dex
1901,Launchpad,DxSale,0xF063fE1aB7a291c5d06a86e14730b00BF24cB589,DX,67524008.11894916,1057849.800580565,dxsale
1544,Yield,Concentrator,ethereum:0xb3Ad645dB386D7F6D753B2b9C3F4B853DA6890B8,CTR,67274630.65946361,0.0,concentrator
382,Yield,Pendle,0x808507121b80c02388fad14726482e061b8da827,PENDLE,66132944.12245183,36201026.46083662,pendle
2121,Dexes,Frax Swap,,-,64734170.777123004,,frax-swap
2111,Lending,UwU Lend,0x55C08ca52497e2f1534B59E2917BF524D4765257,UWU,64205221.78541562,24724957.673965435,uwu-lend
172,Indexes,Index Coop,0x0954906da0Bf32d5479e25f46056d22f08464cab,INDEX,64004869.74510778,11465073.022652276,index-coop
243,Yield Aggregator,Flamincome,0x57dD84042ec9507963016596A34EdaD42F7e4CCE ,FLAG,63640584.78167092,,flamincome
2239,Dexes,Quickswap V3,polygon:0xb5c064f955d8e7f38fe0460c556a72987494ee17,QUICK,62507096.224207476,,quickswap-v3
951,Dexes,4Swap,,-,61911814.69472999,,4swap
2311,CEX,CoinDCX,,-,61835447.213413164,,coindcx
2205,CDP,Pando Leaf,,-,61263416.33091379,,pando-leaf
449,CDP,QiDao,polygon:0x580a84c73811e1839f75d86d75d88cca0c241ff4,QI,61047648.911809616,5587600.085721047,qidao
2038,CDP,Helio Protocol,bsc:0x0782b6d8c4551B9760e74c0545a9bCD90bdc41E5,HAY,59959836.85499101,39395401.660366766,helio-protocol
2226,Yield,Wombex Finance,bsc:0xa75d9ca2a0a1D547409D82e1B06618EC284A2CeD,WMX,59769712.35043256,2302240.7349058534,wombex-finance
2654,Staking,ParaSpace APE Staking,,-,59490610.96619097,,paraspace-ape-staking
160,Yield,Homora V2,0xa1faa113cbe53436df28ff0aee54275c13b40975,ALPHA,59009429.124601714,89448690.20309247,homora-v2
249,Yield,StakeDAO,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,SDT,58570660.79856522,20148810.518413447,stakedao
1453,Lending,EOS REX,eos:eos,EOS,58520141.835333794,1089148734.8810158,eos-rex
204,Synthetics,Alchemix,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,ALCX,58377464.623124264,32704895.80092017,alchemix
1018,Derivatives,Gains Network,polygon:0xe5417af564e4bfda1c483642db72007871397896,GNS,57813742.65651789,163638925.1696889,gains-network
2237,Bridge,Axelar,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,AXL,57066334.940725535,143466893.10156897,axelar
425,Yield,Tranchess,bsc:0x20de22029ab63cf9A7Cf5fEB2b737Ca1eE4c82A6,CHESS,55203460.835282505,26054779.745730765,tranchess
334,Dexes,MDEX,bsc:0x9c65ab58d8d978db963e63f2bfb7121627e3a739,MDX,51853280.35390486,70649765.3456069,mdex
854,Dexes,xExchange,elrond:MEX-455c57,MEX,51752289.44707321,21356189.619596254,xexchange
1494,Dexes,Minswap,cardano:asset1d9v7aptfvpx7we2la8f25kwprkj2ma5rp6uwzv,MIN,51710476.5368832,0.0,minswap
121,Lending,CREAM Finance,0x2ba592F78dB6436527729929AAf6c908497cB200,CREAM,50358916.714698605,12050926.011347895,cream-finance
2529,Dexes,PancakeSwap StableSwap,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,48351522.032882944,,pancakeswap-stableswap
468,Dexes,Trader Joe DEX,avax:0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,47600756.02709552,,trader-joe-dex
506,Yield,Tetu Earn,polygon:0x255707b70bf90aa112006e1b07b9aea6de021424,TETU,47246225.67202357,,tetu-earn
2266,Yield Aggregator,Kava Earn,,-,46305152.07548569,,kava-earn
2262,Liquid Staking,Kava Liquid,,-,46193864.74885779,,kava-liquid
304,Dexes,Flamingo Finance,,FLM,46180145.29429449,42700271.76259585,flamingo-finance
331,Lending,MoneyOnChain,rsk:0x9AC7fE28967B30E3A4e6e03286d715b42B453D10,MOC,46116596.36779981,,moneyonchain
643,Lending,Geist Finance,fantom:0xd8321AA83Fb0a4ECd6348D4577431310A6E0814d,GEIST,45905142.157936364,3936663.327422706,geist-finance
1207,Cross Chain,Across,0x44108f0223A3C3028F5Fe7AEC7f9bb2E66beF82F,ACX,45645134.90343554,9078161.647550315,across
2169,Dexes,BabyDogeSwap,bsc:0xc748673057861a797275CD8A068AbB95A902e8de,BabyDoge,44847424.97269196,366162885.106949,babydogeswap
1556,Bridge,Terra Bridge,,-,44425827.13284531,,terra-bridge
612,Lending,Vires Finance,waves:DSbbhLsSTeDg5Lsiufk2Aneh3DjVqJuPr2M9uU1gwy5p,VIRES,43288055.434494905,3106715.953104378,vires-finance
146,Dexes,DODO,0x43Dfc4159D86F3A37A5A4B3D4580b888ad7d4DDd,DODO,43285112.74453622,54908318.09345121,dodo
123,Lending,dForce,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0,DF,43010009.74631381,25236510.098982845,dforce
2417,Dexes,THENA V1,bsc:0xf4c8e32eadec4bfe97e0f595add0f4450a863a11,THE,41675821.011111595,6117947.145606875,thena-v1
173,Yield Aggregator,Badger DAO,0x3472A5A71965499acd81997a54BBA8D852C6E53d,BADGER,41641557.87,58337510.152626276,badger-dao
2461,Bridge,Ad-Astra Bridge,,-,41217988.793480605,,ad-astra-bridge
2235,Liquid Staking,Algo Liquid Governance,,-,41140294.981046006,,algo-liquid-governance
1772,Derivatives,ApolloX,bsc:0x78F5d389F5CDCcFc41594aBaB4B0Ed02F31398b3,APX,41018872.79105258,26885855.99871394,apollox
2626,Liquid Staking,ether.fi,,-,40167185.97092011,,ether.fi
208,Yield Aggregator,ACryptoS,bsc:0x4197c6ef3879a08cd51e5560da5064b773aa1d29,ACS,39994231.61734,2780800.9696308323,acryptos
283,Dexes,Orca,solana:orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,ORCA,39656947.49355566,17907722.669342544,orca
427,Yield Aggregator,Origin Dollar,0x9c354503c38481a7a7a51629142963f98ecc12d0,OGV,38782837.9347469,3534457.8886381555,origin-dollar
2254,Derivatives,MUX Protocol,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,MCB,38723691.85048074,51489269.18871302,mux-protocol
1882,Dexes,Ferro,cronos:0x39bC1e38c842C60775Ce37566D03B41A7A66C782,FER,38624683.89556559,22133431.27017201,ferro
475,Yield Aggregator,Yield Yak Aggregator,avax:0x59414b3089ce2af0010e7523dea7e2b35d776ec7,YAK,38474949.89480194,4751486.123804889,yield-yak-aggregator
2020,Lending,Silo Finance,0x6f80310ca7f2c654691d1383149fa1a57d8ab1f8,SILO,38270452.12103346,22535581.00153103,silo-finance
2728,Dexes,SyncSwap,,-,37663518.786564484,,syncswap
438,Yield,Tokemak,0x2e9d63788249371f1dfc918a52f8d799f4a38c94,TOKE,36748372.37521543,11059470.14913433,tokemak
1023,Yield,Overnight USD+,polygon:0x236eeC6359fb44CCe8f97E99387aa7F8cd5cdE1f,USD+,36618880.25588767,49745190.34010283,overnight-usd+
1619,NFT Lending,JPEG'd,0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,JPEG,35587369.814967215,12828327.050029982,jpegd
1272,Bridge,ioTube,,-,35501977.38998296,0.0,iotube
2142,Lending,Sonne Finance,optimism:0x1db2466d9f5e10d7090e7152b68d62703a2245f0,SONNE,35357869.45243923,4913781.846818567,sonne-finance
2817,Indexes,Agility LSD,0x5f18ea482ad5cc6bc65803817c99f477043dce85,AGI,35266084.14047153,0.0,agility-lsd
1853,Lending,Moonwell Artemis,moonbeam:0x511aB53F793683763E5a8829738301368a2411E3,WELL,35093705.77233521,3209527.8152872683,moonwell-artemis
944,Dexes,Platypus Finance,avax:0x22d4002028f537599be9f666d1c4fa138522f9c8,PTP,35076492.631973036,3402472.1446482865,platypus-finance
547,Cross Chain,pNetwork,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,PNT,34919182.930151515,12499885.985021528,pnetwork
1848,CDP,Acala Dollar,acala:-,aUSD,34857459.590389356,,acala-dollar
1986,Lending,Canto Lending,,-,34766165.252265185,,canto-lending
2539,Indexes,unshETH,0xe60779cc1b2c1d0580611c526a8df0e3f870ec48,USH,34742653.43834823,12746542.48742616,unsheth
2864,Dexes,THENA FUSION,bsc:0xf4c8e32eadec4bfe97e0f595add0f4450a863a11,THE,34057820.588893175,,thena-fusion
246,Dexes,Pangolin,avax:0x60781C2586D68229fde47564546784ab3fACA982,PNG,34049182.18091081,6066286.586575794,pangolin
207,Insurance,Unslashed,0xe0e05c43c097b0982db6c9d626c4eb9e95c3b9ce,USF,33877781.47434964,678912.5844989168,unslashed
234,Lending,Notional,0xcfeaead4947f0705a14ec42ac3d44129e1ef3ed5,NOTE,33676825.80175969,6754099.139154941,notional
1525,Yield,Vector Finance,avax:0x5817d4f0b62a59b17f75207da1848c2ce75e7af4,VTX,33177889.741891127,1477637.3912231245,vector-finance
190,Indexes,dHEDGE,0xca1207647ff814039530d7d35df0e1dd2e91fa84,DHT,33142714.15927564,6650576.737443886,dhedge
2537,Lending,Flux Finance,,-,32712384.866141677,,flux-finance
